Account Number,Location,Datetime,Account Currency,Product Type,Account Status,Financial Institution,Account Currency Balance,Base Currency Balance (GBP),Entity
615737863258,Qatar,Wed Jan 12 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,0-2357.2639927.1649662.2786909.197298.44-31927.34-80892.75-59750.42-49890.4711796.4-54015.08-93524.2712020.6771863.724454.63-32603.1422812.59-73281.3534435.99-76537.13-90306.97-99616.1444258.08-92571.21-98697.76-80552.230005.7361529.32-27513.88-93167.93-76186.12-45821.85-73731.77-96595.22-58522.96107.873733.3332759.6157269.11-2425.3184567.0716059.12-55485.03-52084.3954856.5859967.2398192.6253176.37-38374.2378360.2242576.73-32364.8844451.8659707.0895460.8127706.58-8978.1984756.2-26674.51-97010.793065.33-9211.792023.32-71557.7834222.5386641.05-34246.4668975.93605.76-91345.17-11068.1245367.9-79927.15-1524.34-25931.6584486.7940039.3142826.2240278.6246067.34-22755.02-95993.5626403.45-99678.48-40371.6667492.86-40475.7439727.8476028.2147958.6928096.7764628.31-13814.0316863.458898.67,,"Kris, Legros and Cartwright"
615737863258,Qatar,Thu Jan 13 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,0-69502.2299423.881266.15-92682.427727.3773873.11-71166.66-58849.89-38844.03-35896.42-6514.1652873.7943828.25-97886.6620071.29-53254.65-37635.66-50238.855240.5-57770.79-37065.83-62060.6869618.26-26039.5114054.088408.46-3482.63-19400.49-97052.83-51568.48-97954.93-98051.4247829.131574.6558356.2276738.628996.0999871.49,,"Kris, Legros and Cartwright"
615737863258,Qatar,Fri Jan 14 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,020876.49-57522.55-3149.4895630.32-30732.869971.0174753.356433.68-12180.6929805.4545451.12-47892.47-10316.2623913.55,,"Kris, Legros and Cartwright"
615737863258,Qatar,Sat Jan 15 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,050497.18-13994.72-56390.064229.07-70025.37-74671.96-53330.12-55208.81-80780.54-56340.41-2578.52-20479.743150.96,,"Kris, Legros and Cartwright"
615737863258,Qatar,Sun Jan 16 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,025815.9882458.4219436.3576155.9652775.5192846.4-75917.8952998.3151623.1852842.08-5375312526.67,,"Kris, Legros and Cartwright"
615737863258,Qatar,Mon Jan 17 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,018028.29-34092.22-803.71-71756.1768911.3623576.34-71204.84-68400.9730419.3874429.8727867.45-11074.5178006.1563427.08-48001.72-60300.0987113.14-40978.96-48191.318350.7575290.5791354.46-90832.83-56677.2493871.4751304.1396326.0987725.3295822-26839.916840.0296089.5179332.8976239.0692023.4147808.92-75259.51-38965.89-35633.84-11531.7-7802.46-45417.867809054122.6689516.4141242.2919713.27-7780561423.9893822.7752745.7252258.06,,"Kris, Legros and Cartwright"
615737863258,Qatar,Tue Jan 18 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,075834.6785341.6799826.56-90581.51-48021.75-76679.29-90078.85-4521.2168681.84-50589.5-3531.97-47497.5917943.03-26003.63-43480.65-47843.9953579.66-42339.4682972.18-38315.690436.954447.64-35935.8-51530.82-48517.18-61525.69-41079.8-6261.074154.7429250.3977172.6161462.71-68731.5619632.14-26684.3568765.793636.33-34159.23-99170.35-61407.3593417.5117713.03,,"Kris, Legros and Cartwright"
615737863258,Qatar,Wed Jan 19 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,0-83647.8363987.55-82640.8422091.116976.7172165-79802.3954575.3427922.96-13521.4330186.9512665.8297171.9623844.45-14840.88-99289.54-66199.05-63136.71-2983.0141968.6153330.02-57879.6193484.6777902.9-80221.3766596.07-53416.17-48847.08,,"Kris, Legros and Cartwright"
615737863258,Qatar,Thu Jan 20 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,071916.8360615.51-56739.7-98091.33-17663.49-17602.89-54196.1927103.88-15141.3962164.1-13250.1686934.5849088.6876233.7354759.8631423.93-19215.29-60721.54-23925.13-51640.376643.81-88128.57-34591.137292.6-83376.5978441.15-19742.5930801.42-66996.32804.3863061.26-12204.26-22885.11-34688.426942.2875179.3324720.6686422.02-75462.02-81493.51-26802.33-72319.5888945.6395455.222155.128163.26-42678.87-3400.1644758.36-6883.88-89087.2-57773.43941.9748940.1279925.0172465.44-94166.06-38711.21-1832.8499659.2778836.756699.27-48127.42-99475.07-13179.8382161.9985112.35-17498.4166319.1280178.73,,"Kris, Legros and Cartwright"
615737863258,Qatar,Fri Jan 21 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,060503.2-70052.8973003.2495907.65-56412.97-55375.24-10636.67-16925.1999114.63,,"Kris, Legros and Cartwright"
615737863258,Qatar,Sat Jan 22 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,092163.7349623.8872600.6922119.95-22862.372244.12-66860.74-93660.58-15998.6410410.6835822.7718831.95-27897.86-41717.3128599.3969179.1454271.1840971.3789535.815046.13-32074.694796.73-86740.4820812.1162275.8260991.0277096.95-58094.55-24062.85-39090.96-681.09-76527.0140116.4-49628.2181156.6,,"Kris, Legros and Cartwright"
615737863258,Qatar,Sun Jan 23 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,0-5071.9222924.64-40794.53-7529.53-74106.2110093.8739966.76-46146.3544335.87-84887.2580736.3253929.26-75530.1244589.39-8701.44-14275.8578761.62-91961.58-97664.37-80560.2136190.2551922.09-8773.2969440.12-48716.5755227.65-84195.2970539.11-94967.28-15844.1-93042.76-6108.14-57422.113518.0347036.33-12730.0360078.76-72021.3817265.1147266.6624410.9983817.18-47910.23,,"Kris, Legros and Cartwright"
615737863258,Qatar,Mon Jan 24 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,090306.0268423.419496.6884321.443477.37-14282.2890779.774909.5437543.0318618.31-74895.5786721.5276833.27-33780.8-14474.45-37639.176774.99-17044.7-30858.9993629.8671530.6754251.04-65167.866770.3876997.0377332.427757.99-38459.85-60202.47-59833.56-76753.3324990.4342675.7-22530.4167683.1626824.84-23559.98-607.3724750.2815339.89-91591.56-40428.788740.4429348.1273720.3124372.4745029.19-84853.92-57918.68-19753.6671723.41-67221.21-15266.55-73844.5624007.6215999.95,,"Kris, Legros and Cartwright"
615737863258,Qatar,Tue Jan 25 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,055869.36-53631.9227751.9649677.4927063.8712181.898446.6738416.8923493.51-13027.06-98320.78-80562.46-51237.5659475.3631717.11-13183.3873871.07-15204.1277008.8473896.8149555.39-40574.651653.4615590.69-17943.08-25142.01-44855.888186.18-39627.05-86207.62-95722.04-25255.91-37576.193637.11-23898.5820057.12-6009.498364.3470008.78-81537.02-69556.08-45072.25-93737.63-4561.3986333.06-11524.21-93952.26,,"Kris, Legros and Cartwright"
615737863258,Qatar,Wed Jan 26 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,0-91349.963988.7360062.3723358.3659677.11-90559.9699457.7456117.0890396.73-30463.8-88915.972019.14-44651.6991250.5691530.09-37236.34-91726.08-32089.789069.9656784.61-92249.03-73958.12-79120.2836244.41-30077.38-37176.6134830.88-86560.61-22679.19-19663.71-70727.19-49013.4828871.67-61832.55-3530113835.0499029.6-73947.36-16641.8-99841.89-51866.3646188.5874890.9647907.43-74482.0325125.0252944.47-21356.2942264.78-36805.44-19272.28-98335.586881.84-38713.9597047.3526673.34-12382.34-98260.9147409.1740556.5485686.38-89851.1886286.48,,"Kris, Legros and Cartwright"
615737863258,Qatar,Thu Jan 27 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,067087.814512.67-78530.52-13289.3581981.6566442.745503.3471155.05-14637.5121292.69-40067.45-38479.7998437.9649961.52-19834.84-79079.26-49788.14-87703.21-72590.32,,"Kris, Legros and Cartwright"
615737863258,Qatar,Fri Jan 28 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,077496.7644651.69-57337.13-80476.0124057.18-45859.8-59632.656417.87-631.65-44898.84-67669.46-44349.45-51978.6376322.1697129.3-41839.672856434629.55,,"Kris, Legros and Cartwright"
615737863258,Qatar,Sat Jan 29 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,0-21189.1861992.61-52948.4317380.3223670.81-24562.09-98522.1672560.6-96643.45-96898.79-79768.4589189.6741801.5891666.75-5208.2282309.13-65806.07-50236.1118097.45-9775.028316.9-60071.58-44436.4141287.9518238.56-28359.8917723.52-51931.5278871.4856098.9493876.0413274.61-9185.846773.28-34762.3116146.7-77245.6852641.58-38346.36-790.67-22922.0347387.66-95952.0962348.74-16300.689796.89-38700.0444022.8465353.9780612.24-32322.2,,"Kris, Legros and Cartwright"
615737863258,Qatar,Sun Jan 30 2022 00:00:00 GMT+0000 (Greenwich Mean Time),EUR,Demand deposit,,Bank of 6,013633.49-26562.14-59642.1270240.87-94549.6898758.93,,"Kris, Legros and Cartwright"
