Account Number,Location,Date,Account Currency,Product Type,Financial Institution,Account Currency Balance,Account Currency Interest Amount,Entity,Interest Rate (%),Placement Date,Maturity Date,Tenor Days,Days to Maturity
518288384375,United States,2022-11-07,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,0,52
518288384375,United States,2022-11-08,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,1,51
518288384375,United States,2022-11-09,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,2,50
518288384375,United States,2022-11-10,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,3,49
518288384375,United States,2022-11-11,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,4,48
518288384375,United States,2022-11-12,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,5,47
518288384375,United States,2022-11-13,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,6,46
518288384375,United States,2022-11-14,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,7,45
518288384375,United States,2022-11-15,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,8,44
518288384375,United States,2022-11-16,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,9,43
518288384375,United States,2022-11-17,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,10,42
518288384375,United States,2022-11-18,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,11,41
518288384375,United States,2022-11-19,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,12,40
518288384375,United States,2022-11-20,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,13,39
518288384375,United States,2022-11-21,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,14,38
518288384375,United States,2022-11-22,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,15,37
518288384375,United States,2022-11-23,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,16,36
518288384375,United States,2022-11-24,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,17,35
518288384375,United States,2022-11-25,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,18,34
518288384375,United States,2022-11-26,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,19,33
518288384375,United States,2022-11-27,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,20,32
518288384375,United States,2022-11-28,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,21,31
518288384375,United States,2022-11-29,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,22,30
518288384375,United States,2022-11-30,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,23,29
518288384375,United States,2022-12-01,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,24,28
518288384375,United States,2022-12-02,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,25,27
518288384375,United States,2022-12-03,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,26,26
518288384375,United States,2022-12-04,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,27,25
518288384375,United States,2022-12-05,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,28,24
518288384375,United States,2022-12-06,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,29,23
518288384375,United States,2022-12-07,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,30,22
518288384375,United States,2022-12-08,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,31,21
518288384375,United States,2022-12-09,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,32,20
518288384375,United States,2022-12-10,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,33,19
518288384375,United States,2022-12-11,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,34,18
518288384375,United States,2022-12-12,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,35,17
518288384375,United States,2022-12-13,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,36,16
518288384375,United States,2022-12-14,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,37,15
518288384375,United States,2022-12-15,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,38,14
518288384375,United States,2022-12-16,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,39,13
518288384375,United States,2022-12-17,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,40,12
518288384375,United States,2022-12-18,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,41,11
518288384375,United States,2022-12-19,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,42,10
518288384375,United States,2022-12-20,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,43,9
518288384375,United States,2022-12-21,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,44,8
518288384375,United States,2022-12-22,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,45,7
518288384375,United States,2022-12-23,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,46,6
518288384375,United States,2022-12-24,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,47,5
518288384375,United States,2022-12-25,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,48,4
518288384375,United States,2022-12-26,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,49,3
518288384375,United States,2022-12-27,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,50,2
518288384375,United States,2022-12-28,GBP,Term Deposit,Bank of 8,4912000,0,Lesch - Carter,6.72,2022-11-07,2022-12-29,51,1
518288384375,United States,2022-12-29,GBP,Term Deposit,Bank of 8,0,47026.007671232874,Lesch - Carter,6.72,2022-11-07,2022-12-29,52,0
915157449247,South Korea,2022-12-05,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,0,124
915157449247,South Korea,2022-12-06,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,1,123
915157449247,South Korea,2022-12-07,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,2,122
915157449247,South Korea,2022-12-08,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,3,121
915157449247,South Korea,2022-12-09,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,4,120
915157449247,South Korea,2022-12-10,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,5,119
915157449247,South Korea,2022-12-11,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,6,118
915157449247,South Korea,2022-12-12,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,7,117
915157449247,South Korea,2022-12-13,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,8,116
915157449247,South Korea,2022-12-14,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,9,115
915157449247,South Korea,2022-12-15,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,10,114
915157449247,South Korea,2022-12-16,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,11,113
915157449247,South Korea,2022-12-17,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,12,112
915157449247,South Korea,2022-12-18,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,13,111
915157449247,South Korea,2022-12-19,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,14,110
915157449247,South Korea,2022-12-20,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,15,109
915157449247,South Korea,2022-12-21,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,16,108
915157449247,South Korea,2022-12-22,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,17,107
915157449247,South Korea,2022-12-23,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,18,106
915157449247,South Korea,2022-12-24,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,19,105
915157449247,South Korea,2022-12-25,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,20,104
915157449247,South Korea,2022-12-26,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,21,103
915157449247,South Korea,2022-12-27,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,22,102
